	end	entity_group	score	start	word	brand_name	application_number	match_type	concept_id
0	29	GENETIC	0.9999823570251465	22	CYP2C19	omeprazole sodium bicarbonate	ANDA207476	100	normalize.gene:CYP2C19
1	118	GENETIC	0.98590487241745	102	CYP2C19 * 1 allele	omeprazole sodium bicarbonate	ANDA207476	0	
2	165	GENETIC	0.9999777674674988	149	CYP2C19 * 2 and * 3	omeprazole sodium bicarbonate	ANDA207476	0	
3	485	GENETIC	0.9999914169311523	478	CYP2C19	omeprazole sodium bicarbonate	ANDA207476	100	normalize.gene:CYP2C19
4	704	GENETIC	0.9999896287918091	697	CYP2C19	omeprazole sodium bicarbonate	ANDA207476	100	normalize.gene:CYP2C19
5	96	CHEMICAL	0.9999982118606567	86	omeprazole	omeprazole sodium bicarbonate	ANDA207476	80	rxcui:7646
6	449	CHEMICAL	0.9999980926513672	439	omeprazole	omeprazole sodium bicarbonate	ANDA207476	80	rxcui:7646
7	522	CHEMICAL	0.9999980926513672	512	omeprazole	omeprazole sodium bicarbonate	ANDA207476	80	rxcui:7646
8	777	CHEMICAL	0.9999978542327881	767	omeprazole	omeprazole sodium bicarbonate	ANDA207476	80	rxcui:7646
9	805	CHEMICAL	0.9999982118606567	795	omeprazole	omeprazole sodium bicarbonate	ANDA207476	80	rxcui:7646
11	29	GENETIC	0.9999876022338867	22	CYP2C19	Pantoprazole Sodium	ANDA090296	100	normalize.gene:CYP2C19
12	459	GENETIC	0.999994158744812	452	CYP2C19	Pantoprazole Sodium	ANDA090296	100	normalize.gene:CYP2C19
13	598	GENETIC	0.9999927282333374	591	CYP2C19	Pantoprazole Sodium	ANDA090296	100	normalize.gene:CYP2C19
14	613	GENETIC	0.9999873638153076	600	CYP2C19 * 2 / * 2	Pantoprazole Sodium	ANDA090296	0	
15	709	GENETIC	0.9999389052391052	696	CYP2C19 * 1 / * 1	Pantoprazole Sodium	ANDA090296	0	
16	742	GENETIC	0.9999880790710449	729	CYP2C19 * 1 / * x	Pantoprazole Sodium	ANDA090296	0	
17	267	CHEMICAL	0.9999982118606567	255	pantoprazole	Pantoprazole Sodium	ANDA090296	80	rxcui:253191
19	54	GENETIC	0.9999889731407166	37	HMG - CoA reductase			0	
20	107	GENETIC	0.999990701675415	100	OATP1B1			60	normalize.gene:OATP1B1
21	129	GENETIC	0.5277872085571289	118	transporter			0	
22	318	GENETIC	0.9999926090240479	311	OATP1B1			60	normalize.gene:OATP1B1
23	335	GENETIC	0.9975831508636475	321	SLCO1B1 521T > C			0	
24	391	GENETIC	0.9974077343940735	376	SLCO1B1 521 C / C			0	
25	44	CHEMICAL	0.9999901652336121	37	HMG - CoA			0	
26	89	CHEMICAL	0.9999961853027344	77	rosuvastatin			80	rxcui:301542
27	184	CHEMICAL	0.9999980926513672	172	rosuvastatin			80	rxcui:301542
28	523	CHEMICAL	0.9999979734420776	511	rosuvastatin			80	rxcui:301542
30	28	GENETIC	0.9999911785125732	22	CYP2D6	Metoprolol succinate	ANDA213854	100	normalize.gene:CYP2D6
31	131	GENETIC	0.9999901056289673	125	CYP2D6	Metoprolol succinate	ANDA213854	100	normalize.gene:CYP2D6
32	194	GENETIC	0.9999921321868896	188	CYP2D6	Metoprolol succinate	ANDA213854	100	normalize.gene:CYP2D6
33	240	CHEMICAL	0.9999982118606567	230	metoprolol	Metoprolol succinate	ANDA213854	80	rxcui:6918
34	276	CHEMICAL	0.9999980926513672	266	metoprolol	Metoprolol succinate	ANDA213854	80	rxcui:6918
36	28	GENETIC	0.9999910593032837	22	CYP2D6	METOPROLOL SUCCINATE	NDA019962	100	normalize.gene:CYP2D6
37	131	GENETIC	0.9999895095825195	125	CYP2D6	METOPROLOL SUCCINATE	NDA019962	100	normalize.gene:CYP2D6
38	194	GENETIC	0.999991774559021	188	CYP2D6	METOPROLOL SUCCINATE	NDA019962	100	normalize.gene:CYP2D6
39	240	CHEMICAL	0.9999982118606567	230	metoprolol	METOPROLOL SUCCINATE	NDA019962	80	rxcui:6918
40	276	CHEMICAL	0.9999980926513672	266	metoprolol	METOPROLOL SUCCINATE	NDA019962	80	rxcui:6918
42	29	GENETIC	0.9999865293502808	22	CYP2C19			100	normalize.gene:CYP2C19
43	459	GENETIC	0.999994158744812	452	CYP2C19			100	normalize.gene:CYP2C19
44	598	GENETIC	0.9999923706054688	591	CYP2C19			100	normalize.gene:CYP2C19
45	616	GENETIC	0.9999871850013733	600	CYP2C19 * 2 / * 2			0	
46	715	GENETIC	0.9999366402626038	699	CYP2C19 * 1 / * 1			0	
47	751	GENETIC	0.9999870657920837	735	CYP2C19 * 1 / * x			0	
48	267	CHEMICAL	0.9999982118606567	255	pantoprazole			80	rxcui:253191
50	52	CHEMICAL	0.9999982118606567	33	Hydrochlorothiazide			80	rxcui:5487
51	346	CHEMICAL	0.9999980926513672	327	Hydrochlorothiazide			80	rxcui:5487
53	28	GENETIC	0.9999896287918091	22	CYP2C9	Celecoxib	NDA020998	100	normalize.gene:CYP2C9
54	170	GENETIC	0.9999883770942688	162	CYP2C9 * 2	Celecoxib	NDA020998	0	
55	183	GENETIC	0.9999844431877136	175	CYP2C9 * 3	Celecoxib	NDA020998	0	
56	304	GENETIC	0.9991173148155212	293	CYP2C9 * 3 / * 3	Celecoxib	NDA020998	0	
57	432	GENETIC	0.9972310066223145	421	CYP2C9 * 1 / * 1	Celecoxib	NDA020998	0	
58	441	GENETIC	0.767281711101532	438	/ * 3	Celecoxib	NDA020998	0	
59	540	GENETIC	0.9999727010726929	534	CYP2C9	Celecoxib	NDA020998	100	normalize.gene:CYP2C9
60	330	CHEMICAL	0.9999980926513672	321	celecoxib	Celecoxib	NDA020998	80	rxcui:140587
