	end	entity_group	score	start	word	match_score	concept_id	match_type
0	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
1	107	GENETIC	0.9999833106994629	100	OATP1B1		normalize.gene:OATP1B1	60
2	127	GENETIC	0.5277884006500244	118	transport			0
3	318	GENETIC	0.9999857544898987	311	OATP1B1		normalize.gene:OATP1B1	60
4	335	GENETIC	0.9989286661148071	321	SLCO1B1 521T > C			0
5	391	GENETIC	0.9982836842536926	376	SLCO1B1 521 C / C			0
6	44	CHEMICAL	0.9999144673347473	37	HMG - CoA			0
7	78	CHEMICAL	0.9999961853027344	77	r		rxcui:1091	60
8	89	CHEMICAL	0.9870646595954895	78	##osuvastatin			0
9	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
10	184	CHEMICAL	0.9155781865119934	173	##osuvastatin			0
11	523	CHEMICAL	0.9844913482666016	511	rosuvastatin		rxcui:301542	80
13	28	GENETIC	0.9999815225601196	22	CYP2D6		normalize.gene:CYP2D6	100
14	131	GENETIC	0.9999688863754272	125	CYP2D6		normalize.gene:CYP2D6	100
15	194	GENETIC	0.9999599456787109	188	CYP2D6		normalize.gene:CYP2D6	100
16	240	CHEMICAL	0.9999891519546509	230	metoprolol		rxcui:6918	80
17	276	CHEMICAL	0.9995956420898438	266	metoprolol		rxcui:6918	80
19	28	GENETIC	0.9999818801879883	22	CYP2D6		normalize.gene:CYP2D6	100
20	131	GENETIC	0.9999683499336243	125	CYP2D6		normalize.gene:CYP2D6	100
21	194	GENETIC	0.9999613761901855	188	CYP2D6		normalize.gene:CYP2D6	100
22	240	CHEMICAL	0.9999915957450867	230	metoprolol		rxcui:6918	80
23	276	CHEMICAL	0.9997285604476929	266	metoprolol		rxcui:6918	80
25	29	GENETIC	0.9999884366989136	22	CYP2C19		normalize.gene:CYP2C19	100
26	459	GENETIC	0.9999825358390808	452	CYP2C19		normalize.gene:CYP2C19	100
27	598	GENETIC	0.999733567237854	591	CYP2C19		normalize.gene:CYP2C19	100
28	616	GENETIC	0.9999847412109375	600	CYP2C19 * 2 / * 2			0
29	715	GENETIC	0.9999550580978394	699	CYP2C19 * 1 / * 1			0
30	751	GENETIC	0.9999863505363464	735	CYP2C19 * 1 / * x			0
31	267	CHEMICAL	0.9999754428863525	255	pantoprazole		rxcui:253191	80
33	54	GENETIC	0.9999898672103882	37	HMG - CoA reductase			0
34	107	GENETIC	0.9999833106994629	100	OATP1B1		normalize.gene:OATP1B1	60
35	127	GENETIC	0.5277884006500244	118	transport			0
36	318	GENETIC	0.9999857544898987	311	OATP1B1		normalize.gene:OATP1B1	60
37	335	GENETIC	0.9989286661148071	321	SLCO1B1 521T > C			0
38	391	GENETIC	0.9982836842536926	376	SLCO1B1 521 C / C			0
39	44	CHEMICAL	0.9999144673347473	37	HMG - CoA			0
40	78	CHEMICAL	0.9999961853027344	77	r		rxcui:1091	60
41	89	CHEMICAL	0.9870646595954895	78	##osuvastatin			0
42	173	CHEMICAL	0.9999980926513672	172	r		rxcui:1091	60
43	184	CHEMICAL	0.9155781865119934	173	##osuvastatin			0
44	523	CHEMICAL	0.9844913482666016	511	rosuvastatin		rxcui:301542	80
46	52	CHEMICAL	0.9999799132347107	33	Hydrochlorothiazide		rxcui:5487	80
47	346	CHEMICAL	0.9999831914901733	327	Hydrochlorothiazide		rxcui:5487	80
